Day,Cash On Hand
1,3487400
2,3216660
3,1105026
4,181890
5,175646
6,126139
7,196499
8,316657
9,392321
10,619633
11,332781
12,355776
13,351916
14,227821
15,334488
16,1146165
17,664725
18,969476
19,1018578
20,1125891
21,2227449
22,1661989
23,1757210
24,1517838
25,2452127
26,2529302
27,2485360
28,3413325
29,2771534
30,3727853
31,3904506
32,3792284
33,3065297
34,3183806
35,3338289
36,3462560
37,4027894
38,4457645
39,5209364
40,6169376
41,6048005
42,6428325
43,5930648
44,5623951
45,4994554
46,6128383
47,6333351
48,6457931
49,5910523
50,5970993
51,7788867
52,7943435
53,8280944
54,8463714
55,8892082
56,9357035
57,9689547
58,10080610
59,10149527
60,10783047
61,10821767
62,10898968
63,11651426
64,11686513
65,11790422
66,12060121
67,12338482
68,12536246
69,12849477
70,13098257
71,13250881
72,13809082
73,13886698
74,13524253
75,13851499
76,14176190
77,14493407
78,15095633
79,16241701
80,16216127
81,17145829
82,18003883
83,16467300
84,14441905
85,14850785
86,15635840
87,14756894
88,15045241
89,14693860
90,14884559
