Day,Sales,Trading Profit,Operating Expense,Net Profit
0,0,0,0,0
1,0,0,12600,-12600
2,0,0,283340,-283340
3,19856,8139,404163,-396024
4,46292,20528,453068,-432540
5,81620,37081,507973,-470892
6,156504,72495,580572,-508077
7,281217,113712,648258,-534546
8,454143,162621,714359,-551738
9,598278,210529,796163,-585634
10,912249,349469,847967,-498498
11,1260763,290568,900522,-609954
12,1606119,192179,953365,-761186
13,1964915,225739,987340,-761601
14,4560569,1714208,1077758,636450
15,4738692,1782732,1162547,620185
16,6427927,2784404,1228018,1556386
17,6595114,2862409,1308442,1553967
18,6949758,3137649,1371668,1765981
19,7110920,3217615,1480415,1737200
20,7275777,3304864,1551292,1753572
21,8504537,3694383,1648663,2045720
22,8640171,3729917,1720257,2009660
23,8811810,3804191,1810008,1994183
24,8994409,3911150,1898890,2012260
25,9977215,4361545,1960740,2400805
26,10153320,4468646,2019473,2449173
27,10331960,4562956,2087344,2475612
28,11467100,5027213,2204225,2822988
29,11613622,5095640,2395776,2699864
30,13078955,5773700,2501856,3271844
31,14138778,6106507,2577732,3528775
32,14913877,6411687,2691874,3719813
33,15138153,6559550,2794190,3765360
34,15358976,6705901,2909837,3796064
35,15588646,6846584,2998357,3848227
36,16296473,7120404,3098154,4022250
37,16937367,7538078,3187047,4351031
38,17638211,8005160,3299338,4705822
39,18480096,8595508,3401238,5194270
40,19612567,9142884,3474712,5668172
41,19877847,9308313,3554221,5754092
42,20324259,9666035,3633646,6032389
43,20620202,9868545,3737649,6130896
44,21612720,10239385,3882264,6357121
45,21936595,10464139,3983035,6481104
46,23188749,10929703,4094511,6835192
47,23486567,11135822,4200694,6935128
48,23714169,11293452,4317049,6976403
49,24194791,11672570,4439337,7233233
50,24533415,11880296,4569540,7304256
51,26477227,12848451,4678312,8163639
52,26759025,13037063,4787083,8243480
53,27225187,13430705,4926320,8497885
54,27511167,13631448,5041196,8583752
55,28044745,14006550,5158072,8841978
56,28622596,14418550,5282636,9129414
57,29238335,14870545,5441074,9422971
58,29778173,15269232,5601011,9661721
59,30266273,15664207,5741133,9916574
60,31025881,16021851,5877385,10137966
61,31295309,16217295,5973209,10237586
62,31615053,16464007,6094998,10362509
63,32537302,17134651,6268122,10860029
64,32838178,17374511,6406707,10961304
65,33314971,17645081,6529753,11108828
66,33729142,17974379,6672057,11295822
67,34177092,18326727,6798174,11522053
68,34623383,18682033,7050034,11625499
69,35092130,19068382,7208883,11852999
70,35577358,19469733,7372996,12090237
71,36086550,19877112,7501270,12369342
72,36830532,20372475,7690384,12675591
73,37332478,20757846,7926657,12824689
74,37864070,21184890,8076369,13102021
75,38975440,21629955,8217496,13405959
76,39437463,21984546,8358161,13619885
77,39883873,22334167,8490687,13836980
78,40955640,23145084,8655402,14483182
79,42629321,24094672,8750971,15337201
80,43645245,24844615,8889942,15948173
81,44669730,25595950,8988058,16601392
82,45669176,26339828,9131098,17202230
83,46102598,26662613,9282960,17373153
84,46566340,27010907,9380431,17623976
85,47081954,27456647,9488154,17961993
86,49142902,27942988,9650110,18286378
87,49645208,28311360,9773799,18531061
88,50136103,28677590,9979680,18691410
89,51393650,29293890,10108561,19178829
90,51986900,29739969,10259445,19474024
