[HIGHEST OVERHEAD] Marketing Expense: 32.75%
[CASH DEFICIT] DAY: 2.0, AMOUNT: 270740.0
[CASH DEFICIT] DAY: 3.0, AMOUNT: 2111634.0
[CASH DEFICIT] DAY: 4.0, AMOUNT: 923136.0
[CASH DEFICIT] DAY: 5.0, AMOUNT: 6244.0
[CASH DEFICIT] DAY: 6.0, AMOUNT: 49507.0
[CASH DEFICIT] DAY: 11.0, AMOUNT: 286852.0
[CASH DEFICIT] DAY: 13.0, AMOUNT: 3860.0
[CASH DEFICIT] DAY: 14.0, AMOUNT: 124095.0
[CASH DEFICIT] DAY: 17.0, AMOUNT: 481440.0
[CASH DEFICIT] DAY: 22.0, AMOUNT: 565460.0
[CASH DEFICIT] DAY: 24.0, AMOUNT: 239372.0
[CASH DEFICIT] DAY: 27.0, AMOUNT: 43942.0
[CASH DEFICIT] DAY: 29.0, AMOUNT: 641791.0
[CASH DEFICIT] DAY: 32.0, AMOUNT: 112222.0
[CASH DEFICIT] DAY: 33.0, AMOUNT: 726987.0
[CASH DEFICIT] DAY: 41.0, AMOUNT: 121371.0
[CASH DEFICIT] DAY: 43.0, AMOUNT: 497677.0
[CASH DEFICIT] DAY: 44.0, AMOUNT: 306697.0
[CASH DEFICIT] DAY: 45.0, AMOUNT: 629397.0
[CASH DEFICIT] DAY: 49.0, AMOUNT: 547408.0
[CASH DEFICIT] DAY: 74.0, AMOUNT: 362445.0
[CASH DEFICIT] DAY: 80.0, AMOUNT: 25574.0
[CASH DEFICIT] DAY: 83.0, AMOUNT: 1536583.0
[CASH DEFICIT] DAY: 84.0, AMOUNT: 2025395.0
[CASH DEFICIT] DAY: 87.0, AMOUNT: 878946.0
[CASH DEFICIT] DAY: 89.0, AMOUNT: 351381.0
[PROFIT DEFICIT] DAY: 1, AMOUNT: 12600.0
[PROFIT DEFICIT] DAY: 2, AMOUNT: 270740.0
[PROFIT DEFICIT] DAY: 3, AMOUNT: 112684.0
[PROFIT DEFICIT] DAY: 4, AMOUNT: 36516.0
[PROFIT DEFICIT] DAY: 5, AMOUNT: 38352.0
[PROFIT DEFICIT] DAY: 6, AMOUNT: 37185.0
[PROFIT DEFICIT] DAY: 7, AMOUNT: 26469.0
[PROFIT DEFICIT] DAY: 8, AMOUNT: 17192.0
[PROFIT DEFICIT] DAY: 9, AMOUNT: 33896.0
[PROFIT DEFICIT] DAY: 11, AMOUNT: 111456.0
[PROFIT DEFICIT] DAY: 12, AMOUNT: 151232.0
[PROFIT DEFICIT] DAY: 13, AMOUNT: 415.0
[PROFIT DEFICIT] DAY: 15, AMOUNT: 16265.0
[PROFIT DEFICIT] DAY: 17, AMOUNT: 2419.0
[PROFIT DEFICIT] DAY: 19, AMOUNT: 28781.0
[PROFIT DEFICIT] DAY: 22, AMOUNT: 36060.0
[PROFIT DEFICIT] DAY: 23, AMOUNT: 15477.0
[PROFIT DEFICIT] DAY: 29, AMOUNT: 123124.0
